order,id,name,category,rarity,unlockSource,levelReward,shardRequirement,sourceArchivePath,sourceFilename,sourceSha256,canonicalFilename,canonicalPath
0,eagle,Philippine Eagle,animal,rare,weekly_keys,,100,00_Original_8/philippine_eagle.png,philippine_eagle.png,08f0e740a89341c9675803c21990f02ec81f715eabcd7e79a5f3fa14f69f8582,eagle.png,avatars/canonical/eagle.png
1,tamaraw,Tamaraw,animal,rare,weekly_keys,,100,00_Original_8/tamaraw.png,tamaraw.png,6f1680b5e946b0967157e4dd91f632ce9e7b5a23714cfef7478972da68582d43,tamaraw.png,avatars/canonical/tamaraw.png
2,anahaw,Anahaw,plant,starter,starter,,0,00_Original_8/anahaw.png,anahaw.png,f25e7e27e0a2ade9b734973d5154da80a93cfefeb654245835377da891666bc7,anahaw.png,avatars/canonical/anahaw.png
3,peacock,Palawan Peacock-Pheasant,animal,rare,weekly_keys,,100,00_Original_8/palawan_peacock_pheasant.png,palawan_peacock_pheasant.png,fdb75d72b23e8540d2277f72cb2fa69d9148478a7f8376888e6f1e23c311c447,peacock.png,avatars/canonical/peacock.png
4,orchid,Waling-Waling Orchid,flower,starter,starter,,0,00_Original_8/waling_waling_orchid.png,waling_waling_orchid.png,ffd6646851fadfd93dadf3853bd34f044246b675769c66382ad4432df27dd88f,orchid.png,avatars/canonical/orchid.png
5,jade,Jade Vine,flower,starter,starter,,0,00_Original_8/jade_vine.png,jade_vine.png,ad6e55707407365707ba9188a0e114897a0dc0b7debd859b92f2a6c7ee227d92,jade.png,avatars/canonical/jade.png
6,rafflesia,Philippine Rafflesia,flower,starter,starter,,0,00_Original_8/philippine_rafflesia.png,philippine_rafflesia.png,e152a1d8460c25faba4e2fbe7d6268663c81e322a172f656bf0cdc2c5e55d4db,rafflesia.png,avatars/canonical/rafflesia.png
7,tarsier,Philippine Tarsier,animal,rare,weekly_keys,,100,00_Original_8/philippine_tarsier.png,philippine_tarsier.png,15c8403f5c9ef55dbdb161f5ae652664dcbacedf32d9e168b6395055ec8bb9a4,tarsier.png,avatars/canonical/tarsier.png
8,narra,Narra,plant,common,level_or_weekly,10,100,01_Batch_1_Common_Plants/narra.png,narra.png,ba90b233302655650ba313f32a450e750fffff5170194300310483a8f26747ca,narra.png,avatars/canonical/narra.png
9,nipa_palm,Nipa Palm,plant,common,level_or_weekly,20,100,01_Batch_1_Common_Plants/nipa_palm.png,nipa_palm.png,7497cb26c1beb757fd5821eedc0731226c06d9e8165d48b2cabc0ed994408a4c,nipa_palm.png,avatars/canonical/nipa_palm.png
10,buri_palm,Buri Palm,plant,common,level_or_weekly,40,100,01_Batch_1_Common_Plants/buri_palm.png,buri_palm.png,194952b7115858a78115c31e902414674ad1ba71beb14b7b66c986f724dd19a6,buri_palm.png,avatars/canonical/buri_palm.png
11,almaciga,Almaciga,plant,common,weekly_keys,,100,01_Batch_1_Common_Plants/almaciga.png,almaciga.png,edf0ab21c57860e5810984136a11a7beae4bb23d22739873ede0f96ee750aace,almaciga.png,avatars/canonical/almaciga.png
12,pandan,Pandan,plant,common,weekly_keys,,100,01_Batch_1_Common_Plants/pandan.png,pandan.png,61dfa09e11d9f61071d58d7db0463533263568dbd3038148c7c91825917a9ea9,pandan.png,avatars/canonical/pandan.png
13,bakawan_mangrove,Bakawan Mangrove,plant,common,weekly_keys,,100,01_Batch_1_Common_Plants/bakawan_mangrove.png,bakawan_mangrove.png,7e670dfc171275655a1533c3d0d9926c129c072d048aaa03bec0e8070c3785bc,bakawan_mangrove.png,avatars/canonical/bakawan_mangrove.png
14,kawayang_tinik,Kawayang Tinik,plant,common,weekly_keys,,100,01_Batch_1_Common_Plants/kawayang_tinik_bamboo.png,kawayang_tinik_bamboo.png,07f34194866eb31de8fd54618da71ea33f0db1a946cfd8075e015b81cc3da834,kawayang_tinik.png,avatars/canonical/kawayang_tinik.png
15,pili,Pili,plant,common,weekly_keys,,100,01_Batch_1_Common_Plants/pili.png,pili.png,649e0bfea0a5ee74b779eab39a63ef03f5fdb02958bef74de5fd7e95cc39093f,pili.png,avatars/canonical/pili.png
16,katmon,Katmon Flower,flower,uncommon,level_or_weekly,30,100,02_Batch_2_Uncommon_Flowers/katmon_flower.png,katmon_flower.png,e49467ca3380f1e00cdbe71dfeaa3e8b5aa95f8134efeb0052a07f22b12b31e6,katmon.png,avatars/canonical/katmon.png
17,medinilla,Medinilla Magnifica,flower,uncommon,level_or_weekly,80,100,02_Batch_2_Uncommon_Flowers/medinilla_magnifica.png,medinilla_magnifica.png,57add7378e8282eaee70e30ff5c0b700a85c3c33448ef8a90608afa92e2672ed,medinilla.png,avatars/canonical/medinilla.png
18,philippine_teak,Philippine Teak Blossom,flower,uncommon,weekly_keys,,100,02_Batch_2_Uncommon_Flowers/philippine_teak_blossom.png,philippine_teak_blossom.png,30d6476f01aac1659716bf0d614eb8cddf5e46c9390442fbf0400f56d18cce1e,philippine_teak.png,avatars/canonical/philippine_teak.png
19,banaba,Banaba Flower,flower,uncommon,level_or_weekly,60,100,02_Batch_2_Uncommon_Flowers/banaba_flower.png,banaba_flower.png,0bd26065f3f1a88b351d30ab6a1bd9f35691cebfce8ab16113cff8d779bc07a2,banaba.png,avatars/canonical/banaba.png
20,mangkono,Mangkono Blossom,flower,uncommon,weekly_keys,,100,02_Batch_2_Uncommon_Flowers/mangkono_blossom.png,mangkono_blossom.png,f9922f4ad45d779e530ecbe29a53241d513035750604b0c7c684b5d91fdd4dff,mangkono.png,avatars/canonical/mangkono.png
